pickup_community_area,dropoff_community_area,total_trips,active_taxis,total_revenue,total_fare,total_trip_miles
55,39,2,2,70.50,70.50,26.26
55,72,2,2,61.75,61.75,23.43
56,55,2,2,107.90,107.90,48.51
57,7,2,2,103.25,88.25,34.08
57,22,2,2,58.00,58.00,22.16
57,26,2,2,60.50,60.50,22.26
57,35,2,2,82.00,78.00,10.28
57,56,2,2,15.75,15.75,3.06
57,60,2,2,58.60,51.50,7.52
57,65,2,1,45.75,45.75,14.5
58,7,2,2,86.90,78.25,13.03
58,24,2,2,77.24,77.24,16.85
58,29,2,2,40.75,39.75,12.02
58,35,2,2,43.75,40.25,12.58
58,38,2,2,40.18,39.68,10.09
58,61,2,2,25.57,25.50,0.49
58,67,2,2,59.25,59.25,23.24
58,69,2,2,56.00,56.00,21.37
58,73,2,2,70.50,69.50,25.97
59,2,2,2,35.75,35.75,13.14
59,10,2,2,99.75,99.75,36.43
59,46,2,2,60.75,60.75,22.96
59,50,2,2,72.50,72.50,28.43
59,53,2,2,88.25,88.25,33.69
59,57,2,2,25.84,25.34,4.65
60,5,2,2,52.50,52.50,19.58
60,7,2,2,48.21,42.59,13.06
60,11,2,2,93.73,93.73,26.5
60,21,2,2,53.75,53.75,20.16
60,23,2,2,56.20,54.20,20.22
60,40,2,2,35.22,34.22,9.4
60,46,2,2,54.00,54.00,19.01
60,58,2,2,28.55,27.55,6.9
60,70,2,2,69.91,69.41,16.94
60,77,2,2,74.07,66.03,25.61
61,14,2,1,94.00,94.00,29.94
61,16,2,2,98.75,94.75,34.92
61,23,2,2,65.36,65.36,25.0
61,26,2,2,58.84,58.75,22.63
61,29,2,2,38.25,37.25,11.79
61,47,2,2,58.25,58.25,21.39
61,54,2,2,86.58,86.58,24.5
61,62,2,2,21.76,21.76,6.25
61,66,2,2,44.75,43.75,12.52
61,70,2,2,42.74,42.24,12.16
62,22,2,2,75.94,55.34,19.66
62,24,2,2,99.60,71.25,24.3
62,38,2,2,50.25,50.25,18.15
62,42,2,2,49.66,49.16,14.7
62,46,2,1,63.25,63.25,22.5
62,57,2,1,10.50,10.50,1.21
63,37,2,2,27.25,27.25,8.13
63,41,2,2,38.59,34.00,10.67
63,43,2,2,55.50,55.50,19.06
63,44,2,2,46.75,46.75,16.19
63,46,2,2,54.25,54.25,18.56
63,49,2,2,71.40,71.40,17.62
63,55,2,2,92.39,92.39,30.27
63,68,2,2,48.39,48.39,13.39
63,73,2,2,55.25,55.25,19.59
64,1,2,2,115.10,115.10,45.88
64,3,2,2,129.27,111.62,37.97
64,14,2,2,91.20,91.20,44.3
64,29,2,2,59.25,59.25,21.08
64,34,2,2,56.50,56.50,20.94
64,39,2,2,70.50,70.50,27.27
64,69,2,2,79.50,79.50,30.8
64,70,2,1,45.00,45.00,14.57
64,71,2,2,73.50,69.50,17.62
64,75,2,2,72.12,72.12,22.88
64,76,2,2,136.90,104.50,41.13
65,7,2,2,93.19,93.19,28.67
65,24,2,2,67.00,67.00,25.2
65,27,2,2,69.17,62.97,19.33
65,35,2,2,60.50,60.50,21.81
65,46,2,2,59.25,59.25,20.84
65,53,2,1,60.75,60.75,21.87
65,71,2,1,30.75,30.75,8.49
66,5,2,2,81.66,81.66,35.05
66,6,2,2,88.40,87.40,31.31
66,10,2,2,134.12,134.12,42.81
66,16,2,2,97.16,97.16,35.84
66,42,2,2,46.86,46.36,13.13
66,54,2,2,65.75,65.75,25.04
66,55,2,2,95.98,95.98,32.92
66,57,2,2,44.58,43.58,10.11
66,64,2,2,28.39,27.89,7.12
66,65,2,2,16.75,16.75,3.95
67,1,2,2,99.55,99.55,38.87
67,11,2,2,138.90,138.90,35.03
67,23,2,2,71.86,71.86,28.23
67,27,2,2,79.17,79.17,21.78
68,14,2,2,93.42,93.42,34.12
68,16,2,2,70.50,70.50,28.1
68,55,2,2,64.50,64.50,25.72
68,57,2,2,26.00,26.00,7.57
68,62,2,2,51.68,51.68,12.39
68,74,2,2,64.25,64.25,24.56
69,15,2,2,105.43,105.43,36.67
69,19,2,2,110.28,110.28,36.12
70,1,2,2,109.09,109.09,46.26
70,4,2,2,94.78,94.78,41.81
70,6,2,2,90.00,90.00,37.27
70,16,2,2,111.47,111.47,36.95
70,36,2,2,67.72,66.72,23.04
70,40,2,2,61.00,61.00,21.61
70,45,2,2,43.75,43.75,14.55
70,48,2,1,54.50,54.50,18.42
70,52,2,2,71.00,71.00,25.27
70,59,2,1,57.00,57.00,20.1
70,60,2,2,61.93,61.93,19.27
70,62,2,2,26.50,26.50,7.7
70,67,2,2,33.98,33.48,9.2
70,77,2,2,110.58,110.58,45.67
71,11,2,2,148.43,148.43,40.89
71,19,2,2,102.57,102.50,40.78
71,58,2,2,48.25,48.25,15.36
71,59,2,2,57.25,57.25,21.0
71,64,2,2,50.25,50.25,15.6
71,65,2,2,51.47,50.47,13.8
72,2,2,2,112.66,112.66,47.71
72,25,2,2,93.59,93.59,34.7
72,31,2,2,66.52,66.52,20.32
72,37,2,2,59.07,59.00,16.87
72,76,2,2,202.22,164.73,62.61
73,16,2,2,115.06,115.06,39.01
73,21,2,2,95.06,95.06,36.85
73,30,2,2,73.50,73.50,28.67
73,58,2,2,60.75,59.75,22.51
73,59,2,1,58.25,58.25,22.1
73,63,2,2,48.75,48.75,17.04
73,65,2,2,48.00,48.00,15.9
74,23,2,2,100.74,100.74,37.69
74,41,2,2,62.75,62.75,23.74
74,48,2,2,53.82,53.75,19.17
74,61,2,1,57.50,57.50,20.07
74,75,2,2,44.75,44.75,15.91
74,76,2,2,171.00,166.50,70.62
75,4,2,2,122.21,122.21,48.43
75,15,2,2,154.00,131.85,51.65
75,19,2,2,119.82,119.82,46.52
75,24,2,2,104.08,104.08,36.12
75,52,2,1,60.50,60.50,22.82
75,65,2,2,65.50,65.50,22.62
75,66,2,2,51.00,51.00,15.55
75,74,2,2,8.75,8.75,1.11
77,47,2,2,109.75,109.75,44.02
77,59,2,2,71.25,71.25,27.98
77,75,2,1,121.01,121.01,48.56
-1,20,1,1,32.47,32.47,11.09
1,26,1,1,40.75,40.75,16.02
1,63,1,1,43.22,43.22,19.29
2,18,1,1,30.25,30.25,11.38
2,26,1,1,38.50,38.50,11.84
2,50,1,1,70.64,70.64,23.68
2,51,1,1,70.64,70.64,27.5
2,53,1,1,68.25,68.25,24.26
2,60,1,1,31.50,31.50,11.56
2,61,1,1,46.79,46.79,16.93
2,70,1,1,56.33,56.33,27.68
3,47,1,1,31.50,31.50,11.74
3,64,1,1,50.37,50.37,18.76
3,65,1,1,52.25,52.25,20.35
3,66,1,1,44.40,44.40,16.94
4,30,1,1,30.00,30.00,10.37
4,45,1,1,55.14,55.14,20.11
4,47,1,1,59.91,59.91,20.82
4,54,1,1,68.25,68.25,27.08
4,60,1,1,33.25,33.25,9.84
4,67,1,1,39.75,39.75,15.38
4,73,1,1,62.30,62.30,19.86
5,18,1,1,13.50,13.50,3.77
5,26,1,1,33.25,33.25,10.98
5,30,1,1,26.75,26.75,9.02
5,40,1,1,30.50,30.50,11.35
5,42,1,1,34.00,34.00,12.92
5,43,1,1,32.50,32.50,12.32
5,51,1,1,61.10,61.10,21.98
5,60,1,1,35.36,24.86,9.59
6,55,1,1,76.92,76.42,32.14
6,63,1,1,44.87,44.37,15.04
6,66,1,1,51.92,51.42,15.28
6,75,1,1,51.50,51.50,21.24
7,45,1,1,34.75,34.75,12.61
7,62,1,1,42.25,41.25,15.13
7,70,1,1,44.40,44.40,18.9
9,13,1,1,30.25,30.25,10.78
9,14,1,1,29.50,29.50,10.23
9,15,1,1,25.25,25.25,8.21
9,16,1,1,30.50,30.50,11.6
9,17,1,1,32.00,32.00,11.4
9,21,1,1,29.50,29.50,10.19
9,44,1,1,74.22,74.22,21.65
10,18,1,1,19.75,19.75,5.03
10,27,1,1,36.50,36.50,14.59
10,49,1,1,75.41,75.41,25.43
10,51,1,1,87.33,87.33,27.73
10,53,1,1,80.18,80.18,27.44
10,54,1,1,88.53,88.53,30.81
10,57,1,1,59.91,59.91,17.99
10,65,1,1,41.75,41.75,16.56
10,69,1,1,52.75,52.75,21.77
10,70,1,1,59.91,59.91,24.39
10,72,1,1,71.84,71.84,27.53
11,29,1,1,30.75,30.75,9.31
11,36,1,1,40.75,40.75,16.59
11,38,1,1,42.50,42.50,16.56
11,41,1,1,66.25,45.75,18.12
11,45,1,1,68.25,68.25,22.05
11,66,1,1,75.06,75.06,22.5
11,69,1,1,76.50,46.50,19.24
12,5,1,1,17.00,16.00,4.84
12,9,1,1,31.00,31.00,10.37
12,17,1,1,29.75,29.75,8.44
12,20,1,1,30.50,27.00,7.56
12,23,1,1,25.88,25.38,6.29
12,26,1,1,37.75,37.75,15.25
12,36,1,1,35.75,35.75,14.4
12,37,1,1,37.00,37.00,14.3
12,40,1,1,36.25,36.25,14.51
12,41,1,1,56.00,45.00,18.1
12,42,1,1,48.25,48.25,19.0
12,46,1,1,34.00,34.00,13.59
12,53,1,1,82.75,82.75,30.89
12,60,1,1,30.25,30.25,11.9
12,65,1,1,30.25,30.25,9.08
12,67,1,1,41.50,41.50,17.01
12,69,1,1,48.50,48.50,19.93
12,73,1,1,36.75,36.75,14.28
12,75,1,1,68.25,68.25,24.33
13,18,1,1,30.50,30.50,9.4
13,20,1,1,20.25,20.25,6.52
13,37,1,1,38.75,38.75,15.49
13,42,1,1,69.25,69.25,25.3
13,56,1,1,62.75,57.25,23.39
13,61,1,1,45.60,45.60,17.03
13,66,1,1,52.75,52.75,21.33
13,68,1,1,53.94,53.94,19.38
14,18,1,1,61.00,61.00,19.0
14,46,1,1,63.48,63.48,20.75
14,57,1,1,47.30,41.80,15.18
14,60,1,1,32.75,32.75,11.64
14,68,1,1,42.25,42.25,17.3
14,71,1,1,57.53,57.53,19.27
14,74,1,1,51.56,51.56,23.78
15,20,1,1,20.50,20.50,4.8
15,31,1,1,31.25,31.25,11.3
15,40,1,1,38.25,38.25,15.28
15,46,1,1,65.87,65.87,19.32
15,48,1,1,63.13,62.63,21.33
15,51,1,1,87.33,87.33,22.46
15,61,1,1,47.99,47.99,19.74
15,65,1,1,38.45,38.45,13.19
15,66,1,1,51.50,51.50,18.37
15,68,1,1,57.53,57.53,14.89
15,73,1,1,59.91,59.91,22.47
15,75,1,1,75.24,61.15,25.76
16,9,1,1,35.97,28.16,7.26
16,46,1,1,50.25,50.25,19.3
16,47,1,1,55.00,55.00,22.42
16,57,1,1,43.75,43.75,17.28
16,72,1,1,55.14,55.14,23.6
17,1,1,1,30.50,30.50,9.68
17,2,1,1,30.25,30.25,9.84
17,7,1,1,31.25,31.25,11.27
17,13,1,1,22.00,22.00,6.78
17,34,1,1,30.75,30.75,11.64
17,46,1,1,70.64,70.64,22.75
17,49,1,1,67.06,67.06,21.72
17,50,1,1,70.64,70.64,21.79
17,55,1,1,81.38,81.38,31.33
17,59,1,1,38.45,38.45,14.42
17,60,1,1,67.06,67.06,14.75
17,65,1,1,45.60,45.60,15.16
18,3,1,1,28.00,28.00,9.42
18,7,1,1,32.47,32.47,6.85
18,10,1,1,15.50,15.50,4.73
18,13,1,1,34.86,34.86,9.79
18,16,1,1,31.75,31.75,10.7
18,22,1,1,29.75,29.75,9.8
18,27,1,1,32.47,32.47,5.94
18,31,1,1,46.79,46.79,11.27
18,33,1,1,53.94,53.94,13.21
18,38,1,1,46.79,46.79,15.0
18,40,1,1,46.75,46.75,18.43
18,44,1,1,58.71,58.71,19.82
18,53,1,1,69.45,69.45,29.02
18,54,1,1,75.41,75.41,29.41
18,67,1,1,50.37,50.37,23.0
18,70,1,1,47.99,47.99,16.98
18,71,1,1,50.37,50.37,21.49
18,77,1,1,36.06,36.06,10.68
19,12,1,1,30.00,30.00,11.14
19,36,1,1,61.10,61.10,14.65
19,39,1,1,47.99,47.99,14.22
19,41,1,1,61.10,61.10,18.35
19,44,1,1,64.68,64.68,19.07
19,58,1,1,34.00,34.00,11.6
19,59,1,1,39.47,39.47,11.4
19,63,1,1,43.22,43.22,16.71
19,66,1,1,44.40,44.40,14.71
20,2,1,1,15.50,15.50,5.19
20,4,1,1,24.20,23.70,5.94
20,10,1,1,20.75,20.75,7.0
20,29,1,1,17.50,17.50,4.76
20,30,1,1,23.15,22.65,6.06
20,31,1,1,29.12,28.62,8.88
20,43,1,1,51.56,51.56,16.99
20,53,1,1,60.00,60.00,24.8
20,67,1,1,43.25,42.25,16.2
20,69,1,1,49.17,49.17,16.7
20,72,1,1,50.37,50.37,21.17
21,44,1,1,40.25,40.25,16.37
21,49,1,1,41.00,41.00,16.82
21,51,1,1,45.60,45.60,21.07
21,57,1,1,36.50,36.50,14.5
21,61,1,1,30.50,30.50,12.19
21,63,1,1,46.00,38.50,14.2
21,64,1,1,38.45,38.45,16.47
22,9,1,1,23.75,23.75,8.57
22,18,1,1,29.75,29.75,8.5
22,54,1,1,62.30,62.30,23.41
22,57,1,1,29.00,29.00,11.0
22,62,1,1,38.90,27.94,8.91
22,64,1,1,40.83,40.83,17.42
22,65,1,1,34.25,34.25,13.6
22,72,1,1,43.22,43.22,19.17
23,17,1,1,30.50,30.50,10.5
23,20,1,1,0.01,0.01,0.0
23,41,1,1,34.00,34.00,13.47
23,47,1,1,50.37,50.37,17.32
23,48,1,1,51.00,51.00,21.01
23,55,1,1,74.22,74.22,25.62
23,62,1,1,27.75,27.75,9.18
23,63,1,1,34.86,34.86,6.84
23,66,1,1,30.25,30.25,9.4
24,47,1,1,46.79,46.79,15.45
24,50,1,1,46.79,46.79,15.39
24,52,1,1,52.76,52.76,19.89
25,10,1,1,34.77,34.27,8.96
25,11,1,1,15.14,14.64,5.0
25,15,1,1,30.25,30.25,8.88
25,20,1,1,15.75,15.75,3.8
25,62,1,1,19.75,19.75,6.5
25,63,1,1,27.75,27.75,0.0
25,72,1,1,47.99,47.99,15.05
26,1,1,1,44.25,44.25,17.6
26,14,1,1,34.50,34.50,13.59
26,20,1,1,14.75,14.75,3.5
26,22,1,1,25.38,24.88,5.08
26,30,1,1,14.36,13.86,3.11
26,45,1,1,47.99,47.99,16.26
26,48,1,1,47.99,47.99,18.82
26,63,1,1,1.00,1.00,0.0
27,2,1,1,34.75,34.75,13.97
27,4,1,1,30.00,30.00,9.78
27,10,1,1,49.17,49.17,14.33
27,13,1,1,28.75,28.75,8.15
27,18,1,1,26.00,26.00,8.93
27,19,1,1,23.25,23.25,8.1
27,37,1,1,28.91,28.91,7.9
27,48,1,1,47.99,47.99,19.3
27,54,1,1,58.71,58.71,20.93
27,57,1,1,38.88,31.00,10.32
27,58,1,1,14.25,14.25,4.32
27,61,1,1,29.75,29.75,11.31
27,66,1,1,35.25,35.25,13.76
27,67,1,1,36.50,36.50,13.8
27,70,1,1,44.00,44.00,17.36
29,11,1,1,33.50,33.50,13.35
29,12,1,1,40.50,40.50,16.2
29,14,1,1,30.25,30.25,11.83
29,17,1,1,38.45,38.45,11.38
29,20,1,1,19.50,19.50,5.0
29,54,1,1,55.14,55.14,22.37
29,59,1,1,24.75,24.75,9.3
29,60,1,1,22.25,22.25,8.2
30,5,1,1,30.00,30.00,9.33
30,11,1,1,40.20,38.70,15.0
30,15,1,1,47.00,47.00,18.78
30,34,1,1,0.00,0.00,12.06
30,40,1,1,26.50,26.50,9.92
30,47,1,1,46.79,46.79,16.02
30,48,1,1,54.00,54.00,18.57
30,60,1,1,33.68,33.68,3.76
30,62,1,1,17.00,17.00,4.6
30,66,1,1,18.00,18.00,5.7
30,73,1,1,32.75,32.75,12.98
31,26,1,1,17.50,17.50,5.3
31,45,1,1,33.25,33.25,12.62
31,63,1,1,20.50,20.50,6.54
31,64,1,1,0.01,0.01,0.0
32,55,1,1,79.27,63.17,23.38
33,9,1,1,50.40,41.50,16.04
34,20,1,1,28.00,26.50,9.5
34,21,1,1,25.00,25.00,9.44
34,29,1,1,21.75,21.75,7.45
34,63,1,1,29.89,29.39,5.76
34,74,1,1,30.75,30.75,11.86
35,9,1,1,55.14,55.14,16.97
35,62,1,1,27.50,27.50,10.26
35,74,1,1,33.75,33.75,12.34
36,2,1,1,46.79,46.79,15.54
36,4,1,1,33.50,33.50,12.5
36,15,1,1,36.75,36.75,14.5
36,55,1,1,37.00,37.00,14.26
36,58,1,1,28.00,28.00,10.5
36,74,1,1,39.57,39.50,12.88
37,10,1,1,46.75,46.75,19.31
37,12,1,1,59.91,59.91,17.48
37,19,1,1,39.75,39.75,14.95
37,23,1,1,29.25,29.25,11.15
37,26,1,1,31.29,31.29,9.68
37,55,1,1,33.75,33.75,13.41
37,57,1,1,23.00,23.00,5.91
37,59,1,1,42.25,42.25,13.19
37,65,1,1,29.50,29.50,10.93
37,74,1,1,36.50,36.50,14.0
38,12,1,1,32.00,32.00,12.56
38,62,1,1,23.00,23.00,7.72
38,63,1,1,18.25,18.25,5.98
39,13,1,1,45.00,45.00,17.76
39,17,1,1,51.56,51.56,18.46
39,18,1,1,46.25,45.25,17.1
39,19,1,1,49.17,49.17,15.52
39,55,1,1,37.50,37.50,13.84
39,74,1,1,37.00,37.00,13.77
40,1,1,1,50.37,50.37,18.0
40,4,1,1,49.17,49.17,15.92
40,11,1,1,39.25,39.25,15.7
40,20,1,1,44.40,44.40,14.88
40,27,1,1,28.00,28.00,10.8
40,30,1,1,26.50,26.50,10.15
40,34,1,1,17.31,16.81,4.71
40,74,1,1,33.00,33.00,12.95
40,76,1,1,84.47,68.71,24.06
40,77,1,1,38.50,38.50,7.6
41,9,1,1,55.50,55.50,22.2
41,12,1,1,54.00,46.50,18.25
41,18,1,1,53.94,53.94,19.27
41,57,1,1,32.75,31.25,12.27
41,64,1,1,54.50,54.50,18.51
42,5,1,1,42.75,42.75,15.9
42,13,1,1,62.30,62.30,20.01
42,18,1,1,53.94,53.94,18.41
42,62,1,1,23.75,23.75,7.95
43,12,1,1,67.06,67.06,21.05
43,20,1,1,51.56,51.56,19.09
43,47,1,1,15.82,15.32,4.33
44,9,1,1,74.22,74.22,23.29
44,14,1,1,48.50,48.50,19.74
44,18,1,1,58.71,58.71,21.42
44,57,1,1,37.50,37.50,14.95
45,11,1,1,68.25,68.25,22.35
45,16,1,1,67.06,67.06,20.73
45,22,1,1,49.17,49.17,16.17
45,26,1,1,47.99,47.99,16.69
45,30,1,1,37.25,37.25,14.74
45,50,1,1,17.75,17.75,4.98
45,56,1,1,33.68,33.68,10.88
45,59,1,1,30.25,30.25,10.8
45,65,1,1,30.75,30.75,10.9
45,72,1,1,22.00,22.00,7.2
46,17,1,1,70.64,70.64,23.12
46,19,1,1,58.71,58.71,18.53
46,21,1,1,88.53,88.53,18.3
46,63,1,1,36.06,36.06,10.3
46,64,1,1,37.25,37.25,18.32
47,23,1,1,50.37,50.37,17.37
47,26,1,1,55.14,55.14,18.07
47,34,1,1,26.00,26.00,9.48
47,37,1,1,38.45,38.45,8.95
47,45,1,1,5.25,5.25,0.6
47,54,1,1,31.75,31.75,11.37
47,77,1,1,57.53,57.53,21.78
48,4,1,1,65.87,65.87,21.2
48,16,1,1,68.25,68.25,22.44
48,47,1,1,10.75,10.75,3.01
48,58,1,1,33.25,32.25,11.8
48,65,1,1,32.50,32.50,11.93
48,74,1,1,32.47,32.47,10.13
49,5,1,1,46.50,46.50,18.07
49,17,1,1,67.06,67.06,22.43
49,52,1,1,22.25,22.25,7.26
49,74,1,1,15.25,15.25,4.79
50,5,1,1,61.10,61.10,19.47
50,7,1,1,52.76,52.76,20.41
50,22,1,1,51.56,51.56,17.1
50,23,1,1,55.14,55.14,18.99
50,73,1,1,35.00,35.00,10.7
50,76,1,1,87.33,87.33,28.86
51,4,1,1,65.87,65.87,0.38
51,11,1,1,87.33,87.33,25.18
51,21,1,1,87.33,87.33,21.24
51,22,1,1,58.71,58.71,22.67
51,58,1,1,47.25,47.25,19.3
51,65,1,1,35.00,35.00,11.75
51,74,1,1,25.50,25.50,9.31
52,1,1,1,78.98,78.98,22.87
52,3,1,1,30.50,30.50,11.47
52,7,1,1,33.50,33.50,12.74
52,22,1,1,33.25,33.25,12.34
52,53,1,1,30.25,30.25,11.4
52,56,1,1,23.00,23.00,0.0
52,67,1,1,30.00,30.00,9.7
53,9,1,1,82.56,82.56,29.21
53,12,1,1,71.84,71.84,23.77
53,74,1,1,31.29,31.29,4.41
54,1,1,1,71.84,71.84,29.49
54,3,1,1,68.25,68.25,26.11
54,4,1,1,68.25,68.25,25.4
54,6,1,1,59.91,59.91,23.57
54,26,1,1,58.71,58.71,22.9
54,52,1,1,24.25,24.25,8.39
54,55,1,1,15.50,15.50,5.42
54,61,1,1,29.50,29.50,11.16
54,63,1,1,32.50,32.50,12.65
54,65,1,1,38.82,38.75,14.6
54,72,1,1,28.00,28.00,10.13
54,74,1,1,31.75,31.75,11.87
54,76,1,1,95.32,95.32,36.62
54,77,1,1,76.61,76.61,26.85
55,24,1,1,103.03,103.03,20.63
55,26,1,1,67.06,67.06,22.94
55,30,1,1,62.30,62.30,21.79
55,31,1,1,40.00,40.00,16.28
55,36,1,1,34.50,34.50,13.2
55,47,1,1,25.50,25.50,9.23
55,50,1,1,19.50,19.50,6.96
55,52,1,1,18.00,18.00,6.35
56,9,1,1,104.75,78.75,32.5
56,18,1,1,47.50,36.00,12.68
56,54,1,1,70.94,52.25,21.54
57,12,1,1,42.50,42.50,17.52
57,14,1,1,41.20,37.70,14.26
57,16,1,1,35.25,35.25,13.8
57,21,1,1,35.50,35.50,14.12
57,24,1,1,53.75,48.75,0.0
57,47,1,1,37.75,37.75,14.95
57,59,1,1,15.25,15.25,4.8
57,62,1,1,12.61,9.11,1.77
57,67,1,1,22.00,22.00,6.13
57,68,1,1,31.75,31.75,11.82
57,70,1,1,22.75,22.75,8.0
57,75,1,1,45.50,45.50,18.63
57,76,1,1,66.52,58.75,24.66
57,77,1,1,43.25,43.25,15.96
58,16,1,1,36.75,36.75,12.6
58,22,1,1,29.50,29.50,10.7
58,25,1,1,33.00,33.00,10.97
58,31,1,1,61.00,47.50,19.4
58,34,1,1,31.29,31.29,5.67
58,37,1,1,20.25,20.25,2.8
58,39,1,1,27.00,26.00,9.2
58,40,1,1,20.25,20.25,5.38
58,42,1,1,32.80,32.30,10.56
58,45,1,1,31.29,31.29,10.04
58,46,1,1,45.60,45.60,14.27
58,53,1,1,48.00,48.00,19.28
58,55,1,1,77.40,50.00,20.64
58,60,1,1,12.00,11.00,3.1
58,62,1,1,8.50,8.50,1.92
58,66,1,1,12.75,12.75,2.31
58,68,1,1,20.50,20.50,6.01
58,76,1,1,72.75,72.75,27.34
58,77,1,1,45.25,41.25,16.36
59,5,1,1,27.25,27.25,9.6
59,11,1,1,40.00,40.00,13.42
59,12,1,1,4.00,4.00,0.39
59,23,1,1,21.25,21.25,7.1
59,47,1,1,29.50,29.50,11.4
59,63,1,1,20.25,20.25,3.2
59,64,1,1,22.25,22.25,6.9
59,65,1,1,22.25,21.25,6.9
59,66,1,1,17.00,17.00,4.79
59,67,1,1,14.50,14.50,4.2
59,75,1,1,35.75,35.75,14.3
60,2,1,1,30.75,30.75,12.07
60,4,1,1,35.41,34.91,9.78
60,12,1,1,36.50,36.50,14.71
60,13,1,1,32.75,32.75,12.66
60,17,1,1,39.75,39.75,15.51
60,26,1,1,32.30,31.80,7.66
60,47,1,1,36.25,36.25,12.83
60,66,1,1,29.51,29.01,7.27
61,4,1,1,39.63,39.63,17.58
61,5,1,1,31.25,31.25,10.86
61,12,1,1,40.50,40.50,16.42
61,13,1,1,45.60,45.60,14.59
61,27,1,1,30.25,30.25,11.8
61,63,1,1,8.00,8.00,1.92
61,64,1,1,33.50,33.50,12.3
62,3,1,1,45.50,45.50,17.7
62,27,1,1,46.30,34.50,6.7
62,34,1,1,30.00,30.00,0.0
62,35,1,1,27.25,27.25,10.2
62,36,1,1,33.90,27.75,10.06
62,50,1,1,38.45,38.45,12.03
62,61,1,1,34.30,28.50,0.0
62,63,1,1,6.50,6.50,1.09
62,68,1,1,17.50,17.50,5.6
62,71,1,1,20.50,20.50,7.0
62,76,1,1,107.35,73.50,0.0
62,77,1,1,67.30,49.25,19.8
63,3,1,1,40.83,40.83,16.45
63,21,1,1,45.42,38.00,14.27
63,24,1,1,35.37,34.87,9.33
63,25,1,1,35.25,35.25,12.62
63,27,1,1,26.25,26.25,8.7
63,29,1,1,17.00,17.00,4.98
63,35,1,1,19.75,19.75,6.75
63,51,1,1,30.50,30.50,7.26
63,53,1,1,32.00,32.00,12.21
63,56,1,1,14.50,14.00,2.72
63,58,1,1,18.00,18.00,0.0
63,71,1,1,24.25,24.25,4.12
63,72,1,1,20.58,20.08,5.3
64,4,1,1,51.56,51.56,23.96
64,15,1,1,37.25,37.25,20.2
64,16,1,1,53.00,53.00,18.79
64,19,1,1,71.50,55.50,20.12
64,21,1,1,37.25,37.25,17.1
64,23,1,1,25.50,24.50,8.8
64,37,1,1,30.50,30.50,10.98
64,53,1,1,44.40,44.40,15.48
64,59,1,1,47.99,47.99,8.0
64,65,1,1,43.00,43.00,0.0
64,77,1,1,87.60,68.50,21.85
65,2,1,1,49.17,49.17,16.53
65,4,1,1,67.50,63.50,23.86
65,15,1,1,38.45,38.45,11.49
65,16,1,1,33.00,33.00,11.93
65,23,1,1,34.14,33.64,9.31
65,34,1,1,27.25,27.25,9.7
65,47,1,1,25.25,25.25,8.84
65,50,1,1,27.00,27.00,9.83
65,62,1,1,6.50,6.50,1.17
66,7,1,1,37.75,37.75,14.97
66,11,1,1,67.06,67.06,19.41
66,13,1,1,46.79,46.79,22.6
66,17,1,1,49.17,49.17,20.09
66,21,1,1,37.25,37.25,18.53
66,26,1,1,25.00,25.00,8.9
66,27,1,1,28.25,28.25,8.45
66,31,1,1,30.75,30.75,10.55
66,47,1,1,25.50,25.50,7.92
66,59,1,1,30.50,30.50,11.41
66,60,1,1,29.75,29.75,11.2
66,61,1,1,14.00,14.00,4.09
66,62,1,1,8.25,8.25,1.93
67,10,1,1,69.45,69.45,18.8
67,14,1,1,45.60,45.60,18.37
67,18,1,1,50.37,50.37,22.72
67,55,1,1,33.75,33.75,13.16
67,58,1,1,14.65,14.15,3.28
67,60,1,1,18.86,18.36,5.68
67,62,1,1,0.00,0.00,0.0
67,65,1,1,12.75,12.75,3.91
68,12,1,1,47.00,47.00,18.68
68,17,1,1,55.14,55.14,20.84
68,18,1,1,53.94,53.94,19.31
68,58,1,1,27.75,27.75,10.27
68,63,1,1,26.75,26.75,8.4
68,65,1,1,18.25,18.25,6.09
69,13,1,1,59.91,59.91,21.39
69,47,1,1,18.00,18.00,5.97
69,62,1,1,28.50,28.50,9.22
69,64,1,1,30.25,30.25,10.57
70,11,1,1,70.64,70.64,4.5
70,12,1,1,51.56,51.56,23.6
70,15,1,1,55.14,55.14,26.0
70,21,1,1,31.25,31.25,11.94
70,22,1,1,30.50,30.50,11.55
70,26,1,1,34.86,34.86,14.12
70,27,1,1,31.75,31.75,10.29
70,57,1,1,23.75,23.75,7.6
70,72,1,1,31.00,31.00,9.98
70,74,1,1,13.00,13.00,3.5
71,4,1,1,46.79,46.79,16.37
71,14,1,1,36.50,36.50,14.35
71,74,1,1,18.50,18.50,5.99
72,3,1,1,5.25,5.25,0.25
72,5,1,1,56.33,56.33,19.46
72,6,1,1,49.17,49.17,21.86
72,7,1,1,47.99,47.99,17.72
72,10,1,1,71.84,71.84,27.85
72,11,1,1,78.98,78.98,23.2
72,16,1,1,55.14,55.14,20.92
72,21,1,1,45.60,45.60,19.99
72,22,1,1,3.75,3.75,0.0
72,24,1,1,45.60,45.60,15.69
72,26,1,1,47.99,47.99,13.07
72,29,1,1,30.00,30.00,9.94
72,30,1,1,31.00,31.00,11.11
72,47,1,1,16.00,16.00,4.15
72,55,1,1,31.50,31.50,12.29
72,57,1,1,29.00,29.00,10.33
